1;3;2;M 0,10 5,0 10,10 0,10 z;;0;True;#0000FF
2;-1;-1;M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0;;0;False;#0000FF
3;4;2;M 0,0 10,0 10,10 0,10 z;;0;True;#0000FF;
4;3;1;M 0,10 5,0 10,10 0,10 z;;0;True;#0000FF
5;1;1;M 0,10 5,0 10,10 0,10 z;;0;True;#0000FF
6;1;-1;M 0,10 5,0 10,10 0,10 z;;1;True;#0000FF
7;3;-1;M 0,10 5,0 10,10 0,10 z;;0;True;#0000FF
8;8;2;M 0,10 5,0 10,10 0,10 z M0,10 -4,14 M5,0 5,-5 M10,10 14,14;;2;True;#0000FF
9;5;2;M0,0 0,10 10,10 10,0 z M 0,0 -5,0 M 10,0 15,0;;0;True;#0000FF
10;7;2;M 0,0 10,0 10,10 0,10 z M 5,10 5,25 3,15 M 5,25 7,15;;0;True;#0000FF
11;5;1;M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0 M0,11 10,11;;0;True;#0000FF
12;4;1;M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0;;0;True;#0000FF
13;-1;2;M 10,10 0,0 10,0 10,10 0,10 0,0 z;;0;False;#0000FF
14;6;-1;M5,5 0,10 10,10 5,15 5 20;#0000AA;0;False;#0000AA
15;9;-1;M 0,10 5,0 10,10 0,10 z M5,0 5,-15;;0;True;#0000FF
16;5;-1;M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0 M0,11 10,11;;0;False;#0000FF
17;7;-1;M 0,0 10,0 10,10 0,10 z M 5,10 5,25 3,15 M 5,25 7,15;;0;False;#0000FF
18;8;1;M 0,10 5,0 10,10 0,10 z M0,10 -4,14 M5,0 5,-5 M10,10 14,14;;2;True;#0000FF
19;8;-1;M 0,10 5,0 10,10 0,10 z M0,10 -4,14 M5,0 5,-5 M10,10 14,14;;2;True;#0000FF
20;2;2;M 0,0 10,0 10,10 0,10 z M0,13 10,13 M0,16 10,16;;0;True;#0000FF
21;9;2;M 0,10 5,0 10,10 0,10 z M5,0 5,-15;;0;True;#0000FF
