"External ID","ВЛ/ID","Наименование"
"__export__.uis_papl_tap_174","195","Ф.351-ПС Нефтяная(ОЛ)"
"__export__.uis_papl_tap_176","194","6(13)"
"__export__.uis_papl_tap_178","194","4(11)"
"__export__.uis_papl_tap_179","194","1(9)"
"__export__.uis_papl_tap_180","194","2(10)"
"__export__.uis_papl_tap_181","194","5(11)"
"__export__.uis_papl_tap_182","194","7(13)"
"__export__.uis_papl_tap_183","401","Ф.10-ПС ""Павловка"" (сторонняя-Пермэнерго) 35/6кВ(ОЛ)"
"__export__.uis_papl_tap_184","","[НЕТ ПРИВЯЗКИ](ОЛ)"
"__export__.uis_papl_tap_185","404","[БЕЗ НОМЕРА]([НЕ ПОДКЛЮЧЕНА])"
"__export__.uis_papl_tap_186","404","[БЕЗ НОМЕРА]([НЕ ПОДКЛЮЧЕНА])"
"__export__.uis_papl_tap_187","404","[БЕЗ НОМЕРА]([НЕ ПОДКЛЮЧЕНА])"
"__export__.uis_papl_tap_188","404","[БЕЗ НОМЕРА]([НЕ ПОДКЛЮЧЕНА])"
"__export__.uis_papl_tap_189","404","[БЕЗ НОМЕРА]([НЕ ПОДКЛЮЧЕНА])"
